開始時刻,終了時刻,発言者,発言内容
00時06分54秒,00時06分56秒,E342TAN001,遅くなって申し訳ございません。よろしくお願いいたします。
00時06分56秒,00時06分59秒,株式会社VOLTMIND 長富元気,お世話になってます。よろしくお願いいたします。
00時06分59秒,00時07分01秒,株式会社VOLTMIND 長富元気,初めまして。ボルトマインクの。
00時07分01秒,00時07分03秒,E342TAN001,申し訳ありません。ちょっと遅れてしまいまして。
00時07分03秒,00時07分13秒,株式会社VOLTMIND 長富元気,大丈夫です。えっとち、あの弊社からもあのあとあの入室してくるんですけど、ちょっと今ズームが重たいらしくてなかなか入れないみたいな。
00時07分13秒,00時07分13秒,E342TAN001,はい、承知しました。
00時07分13秒,00時07分17秒,E342TAN001,もう、でも全然先に始めちゃってもいいかなとは思っておりますので、
00時07分17秒,00時07分19秒,E342TAN001,はい、よろしくお願いいたします。
00時07分19秒,00時07分22秒,株式会社VOLTMIND 長富元気,本日はお時間いただいてありがとうございます。
00時07分22秒,00時07分24秒,E342TAN001,こちらこそありがとうございます。お忙しい中ありがとうござい。
00時07分24秒,00時07分31秒,株式会社VOLTMIND 長富元気,でもないです。えっと、レディクルさんから事前に情報等はいただいておりまして。
00時07分31秒,00時07分31秒,E342TAN001,はいです。
00時07分31秒,00時07分34秒,株式会社VOLTMIND 長富元気,あの弊社がレディクルさんこう
00時07分34秒,00時07分37秒,株式会社VOLTMIND 長富元気,使わせていただくのがあまりまだ慣れてなくてですね。
00時07分37秒,00時07分38秒,E342TAN001,あ、そうなんですね。
00時07分38秒,00時07分44秒,株式会社VOLTMIND 長富元気,もっとこうした方がいいとかあれば、もし全然気兼ねなく言っていただけると幸いです。
00時07分44秒,00時07分46秒,E342TAN001,はい、承知しました。ありがとうございま。
00時07分46秒,00時07分52秒,株式会社VOLTMIND 長富元気,ます。そうですね。まずは簡単に弊社の自己紹介だけさせていただいてもよろしいでしょうか？
00時07分52秒,00時07分53秒,E342TAN001,はい、よろしくお願いいたします。
00時07分53秒,00時07分57秒,株式会社VOLTMIND 長富元気,ありがとうございます。じゃあちょっと画面共有をさせていただきます。
00時07分57秒,00時07分57秒,E342TAN001,ほいっ。
00時07分59秒,00時08分00秒,株式会社VOLTMIND 長富元気,よいしょ。
00時08分00秒,00時08分06秒,株式会社VOLTMIND 長富元気,今こちらのグーグルのグーグルスライドの方を見れておられますでしょうか？
00時08分06秒,00時08分08秒,E342TAN001,はい、見えてます。
00時08分08秒,00時08分22秒,株式会社VOLTMIND 長富元気,ありがとうございます。えっと、弊社え。株式会社ボルトマインドと申します。で、えっと、主にやってることとしては、特にaiのえaiを活用したソリューションっていうところをえ、メインに事業としてやらせていただいております。
00時08分22秒,00時08分23秒,E342TAN001,はーい。
00時08分23秒,00時08分38秒,株式会社VOLTMIND 長富元気,えっと、ま、会社のメッセージとしてはえっとま生成aiを使って社会であったり人の可能性を広げるっていうところをビジョンに掲げて、えー様々事業を進めておりまして。で、えっと、今会社としてはえっとまた説明
00時08分38秒,00時08分39秒,株式会社VOLTMIND 長富元気,そうなんです。
00時08分39秒,00時08分40秒,株式会社VOLTMIND 長富元気,ありがとうござ。
00時08分40秒,00時08分40秒,E342TAN001,すいません。はい。
00時08分40秒,00時09分02秒,株式会社VOLTMIND 長富元気,すいません。えー、設立してまだそこまであの比はえー、浅いのですけれど、も今あ、のvcあ、ベースベンチャーズ様っていうとこvcえー。ベ。ン。チャーキャピタルの方から、あの資本金としてあのー100,000,000円出資いただいておりまして。え、今現在資本金はえ100,030,000円といったえー、ところでやらせていただいております。
00時09分03秒,00時09分21秒,株式会社VOLTMIND 長富元気,で、えっと、経営陣に関してなんですけれども、え、この北森左側にえー、移っているキタモリという男がえっとま、代表取締役でして、えっと、もともと学生起業した時の会社を。え、今ドーナツっていうあのジョブ館とか運営されて。
00時09分22秒,00時09分38秒,株式会社VOLTMIND 長富元気,たまに売却をしたっていう経験があるものが、代表をやっております。この取締役の山本というものが、もともと日本で初めて仮想通貨のマイニングの工場を日本で初めて作った男になった。
00時09分38秒,00時09分39秒,E342TAN001,へぇー。
00時09分39秒,00時10分05秒,株式会社VOLTMIND 長富元気,で。なので、その時のそのまマイニングをするにあたってめちゃくちゃ高性能なgpuがたくさん必要なんですけど、それをあの山本がもともとえ個人としてあの自分でやっていたところで、このボルトマインドとしてジョインしたので、え？弊社がこうかなり生成aiを活用した。あのー、活用するにあたってそのgpuをめちゃくちゃこう活用してるっていうところが背景としてあります。
00時10分05秒,00時10分24秒,株式会社VOLTMIND 長富元気,で、えっと、こちらの取締役の長野さんという方がえっと、こちら側のvcの方で取締役としてはいら。えー、入っていただいておりまして、えー、こちらの監査役のオーバー様という方が、あのまいろんな会社の上場をあのお手伝いしたっていう経歴のある方が監査役として入らせていただいております。はい、
00時10分25秒,00時10分35秒,株式会社VOLTMIND 長富元気,今いろんな事業を弊社ではやっているんですけれども、一番ポイント。今回の特に
00時10分36秒,00時10分42秒,株式会社VOLTMIND 長富元気,なんですかね。肝というか今回対象となるのがこの。Aiのシステム開発事業っていうところで。
00時10分42秒,00時11分11秒,株式会社VOLTMIND 長富元気,ま、既存のシステム開発ってやっぱりどうしてもこうかなりの時間をかけて、えー、たくさんのエンジニアを投入してえ？やるっていうシステム開発が今まで一般的だったのかなと思ですけれども、あの弊社ではもうあの高性能なaiを活用してえー。まエンジニアの工数をかなり削減して、なおかつあの費用も抑えつつえ、納期も短く対応するっていうところに特に注力をしたシステム開発というのをやらせていただいております。
00時11分11秒,00時11分32秒,株式会社VOLTMIND 長富元気,で、えっと、まそれ以外にもあの生成ai。のエンジニアコミュニティみたいなえものもえ。弊社で抱えておりまして、えま。約今10,000人くらいのエンジニアコミュニティでえっとま弊社で保有しているgpuサーバーとかを、そのコミュニティ内のエンジニアの方にあのこれ使いたいです。っていう方がいたら、あの、もう無償で提供しちゃってで。
00時11分32秒,00時11分32秒,E342TAN001,そこで。
00時11分32秒,00時11分51秒,株式会社VOLTMIND 長富元気,で、あのいろんな技術を研究したり開発したりっていうところのノウハウをあのこちらにあのま無償で使ってもらう代わりに、そのノウハウであったり、研究っていうのも、あのちょっとこうご共有してもらうみたいな。そういった座組であのエンジニアコミュニティっていうのもやらせていただいております。
00時11分52秒,00時12分08秒,株式会社VOLTMIND 長富元気,で、えっと今まで取引先企業で言うと、えっとま、大きいところで言うと、このサニックスさんっていうま。上場企業の会社様の今、基幹システムをえー完全に作り直すっていうところを今ちょうどあのプロジェクトとして進んでいるところでして、
00時12分08秒,00時12分33秒,株式会社VOLTMIND 長富元気,20年前に作った基幹システムをもう一から再構築し直すみたいな。結構大規模なプロジェクトを今進行中であったりとか。あとはルテリアさんであったり、ピクトリアさんっていうベンチャー企業なんですけど、かなりaiに力を入れている会社様に自社でも保有しているgpuサーバー等を貸し出したりとか。してます。
00時12分33秒,00時12分33秒,E342TAN001,ちょっち。
00時12分34秒,00時12分36秒,株式会社VOLTMIND 長富元気,みたいなこともやらせていただいております。
00時12分37秒,00時12分37秒,E342TAN001,はーい。
00時12分39秒,00時12分58秒,株式会社VOLTMIND 長富元気,で、えっとま、ちょっとこのあたりは割愛させていただいて、えっとま、具体的なこうどんなことやってきたかのところだけちょっさらっとお話できればと思ってまして、こちらが先ほどあのサニックス様のお話になるんですけれども、えっと、ソニックスさんがもう今社員で言うと2000人超ええ。
00時12分59秒,00時13分15秒,株式会社VOLTMIND 長富元気,上場企業の会社様で、20年前に作った基幹システムなので、どうしても現場のやり方と乖離したりとか？あとは効率的なそのシステムを使うにはちょっと回りくどい手順が必要だったり。
00時13分15秒,00時13分16秒,E342TAN001,はい。はい。
00時13分16秒,00時13分22秒,株式会社VOLTMIND 長富元気,現場にちょっと即してないような。もうシステムになってしまっているっていう背景があって、そこでも
00時13分22秒,00時13分39秒,株式会社VOLTMIND 長富元気,あの、じゃあまるっと、えっと、弊社でえー。要件定義からもうあのはい入らせていただいてえまるっと作り変えるっていうところを今あの進めております。で、ここはもう。あの週二であの担当者二名があの福岡に福岡のソニックス本社に
00時13分39秒,00時14分03秒,株式会社VOLTMIND 長富元気,もう伺わせていただいて、現地の具体的にどんなことをやっているのかっていうところも、社員さんと密にコミュニケーションを取りながら進めているっていうところで、やっぱり作って全然現場に即してないものを作っちゃうのが一番意味がな。いというか、もったいない。本当に現場の声っていうのをしっかり聞いた上で今プロジェクトとして進めているといったところになっています。
00時14分03秒,00時14分17秒,株式会社VOLTMIND 長富元気,で、こちらもあのかなりaiを活用して開発をしていくっていうところがあるので、え？もう開発工数で言うと他の会社様からあいみつとかも取られてたらしいんですけれども。
00時14分17秒,00時14分24秒,株式会社VOLTMIND 長富元気,他の会社と比べて開発工数で言うと、もう50%。半分以下になっていて。
00時14分24秒,00時14分25秒,E342TAN001,どうもう。
00時14分25秒,00時14分36秒,株式会社VOLTMIND 長富元気,-30%くらいだったという話を後から伺ってまして、ま、それくらい。やっぱりai活用すると、効率的にえー、プロジェクトを進めることができるっていうところがあるのかなと思ってます。
00時14分37秒,00時15分01秒,株式会社VOLTMIND 長富元気,で、あとはえっと、これはちょっと基幹システムであったり、業務効率化、ま。業務効率化的な側面はあるんですけど、この薬化gptっていうのも弊社で開発しておりまして、こちらがですねえと、薬剤師の方の業務効率化をするっていう名目で、あの作成させていただいたai。を使ったチャットシステムになります。
00時15分02秒,00時15分04秒,株式会社VOLTMIND 長富元気,具体的なイメージで言いますと、
00時15分05秒,00時15分07秒,株式会社VOLTMIND 長富元気,ちょうど今これ、僕の
00時15分07秒,00時15分09秒,株式会社VOLTMIND 長富元気,僕も登録してまして。
00時15分09秒,00時15分10秒,E342TAN001,ありがとうござ。
00時15分10秒,00時15分11秒,株式会社VOLTMIND 長富元気,来るかなっていう。
00時15分12秒,00時15分22秒,株式会社VOLTMIND 長富元気,これ。裏側でチャッ。トgptのapiを使っていて一番モデルが高い4.5。ですね。と。
00時15分22秒,00時15分31秒,株式会社VOLTMIND 長富元気,させていて、薬剤師が普段の薬剤業務の中でいろんな相互作用を調べたりだとか。
00時15分31秒,00時15分32秒,E342TAN001,ありがと
00時15分32秒,00時15分42秒,株式会社VOLTMIND 長富元気,報告書を作ったりする必要があるらしいんですけど、ま、そういったところの業務効率化をお手伝いするえ、チャットボットっていうところもあの弊社で作成させていただきました。
00時15分46秒,00時16分01秒,株式会社VOLTMIND 長富元気,で、えーと、あとはあとちょっと近しいところで言いますと、えっと、これは不動産の会社様向けに作ったシステムなんですけれども、えー、その不動産会社が学生スタッフの方がかなり多いらしくてですね。
00時16分01秒,00時16分19秒,株式会社VOLTMIND 長富元気,で、えっと、そこのこう教育コストみたいなところはかなりかかっているっていうお話がありました。で、そこで、あのもうai。を使って学生がこうじ自分でこう不動産のことを勉強できるであったりとか。あと、なので宅建の勉強とかも結構あのー
00時16分19秒,00時16分29秒,株式会社VOLTMIND 長富元気,やりたいと思う人多いらしいんですけど、その宅建の勉強のai。をもあのこのプラットフォーム上で使える。みたいなものも作成させていただきました。これ、あの、
00時16分29秒,00時16分31秒,株式会社VOLTMIND 長富元気,これなんですけど、実際
00時16分32秒,00時16分33秒,株式会社VOLTMIND 長富元気,えっとですね。
00時16分33秒,00時16分33秒,E342TAN001,はい。はい。
00時16分33秒,00時16分40秒,株式会社VOLTMIND 長富元気,ログインすると、まぁこんな形で学生ユーザー。今僕が学生ユーザーとしてログインしてまして。
00時16分40秒,00時16分40秒,E342TAN001,はい。はい。
00時16分40秒,00時16分51秒,株式会社VOLTMIND 長富元気,ま、こんな感じで、なんかいろんな専門家っていうものがあって、例えばビジネスマナーであったり、タスク管理であったり、あとは不動産の営業の全般であったりとかあと。
00時16分51秒,00時16分51秒,E342TAN001,宅、建物。
00時16分51秒,00時17分06秒,株式会社VOLTMIND 長富元気,勉強みたいな。こういったあのま専門家aiと呼ばれる概念をあのま管理者側自由に作ることができて、そのどういう振る舞いをするかみたいなところも。管理者側は設定できるっていう
00時17分06秒,00時17分07秒,株式会社VOLTMIND 長富元気,感じになってます。
00時17分08秒,00時17分08秒,E342TAN001,うーん。
00時17分08秒,00時17分09秒,株式会社VOLTMIND 長富元気,ありがとうござ。
00時17分09秒,00時17分16秒,株式会社VOLTMIND 長富元気,学生ユーザーさんなので、就職支援とかも結構興味関心の中には入っているので。
00時17分16秒,00時17分17秒,E342TAN001,そうですね。
00時17分17秒,00時17分26秒,株式会社VOLTMIND 長富元気,こういうとこ行きたいんだよね？みたいな質問を就職支援アドバイザーに聞くことによって、あなたのこういう強みならこの会社がいいんじゃない？とか。
00時17分26秒,00時17分27秒,E342TAN001,へぇー。
00時17分27秒,00時17分35秒,株式会社VOLTMIND 長富元気,年収順で並べたらこういう会社いいよねみたいな。そういうのもそういったものを提示してくれるっていうaiを作ってます。
00時17分35秒,00時17分43秒,株式会社VOLTMIND 長富元気,でこれがですね。結構今回ちょっと、ちょっ。まあ完全にドンピシャではないんですけど、ちょっと近しい部分あるかなっていうのが。
00時17分43秒,00時17分49秒,株式会社VOLTMIND 長富元気,この知識ベースという項目でこういう感じでファイルをアップロードできるようにしてまして。
00時17分49秒,00時17分50秒,E342TAN001,はーい。
